dias;Brillo_Solar_(h);RadiacionGlobal_(cal/cm2);Humedad_Relativa_(%);Precipitacion_(mm);Nubosidad
1;2,3;265,00;82,6;1,1;3,0
2;1,8;326,48;80,3;0,0;3,0
3;3,4;396,44;79,3;0,0;2,7
4;4,0;428,24;80,3;1,9;2,7
5;7,4;504,56;75,0;0,0;2,7
6;9,5;695,36;72,6;2,2;1,7
7;1,3;487,60;82,3;0,8;3,0
8;4,6;424,00;72,3;0,0;2,3
9;5,2;438,84;74,0;17,1;2,3
10;5,8;519,40;74,3;0,0;2,7
11;6,2;557,56;76,6;0,3;2,3
12;2,3;572,40;72,0;0,0;2,0
13;1,7;303,16;81,0;9,4;2,7
14;9,5;667,80;78,3;0,2;2,3
15;3,3;489,72;76,3;3,0;2,7
16;7,7;487,60;77,0;0,0;2,3
17;2,3;288,32;82,0;0,2;3,0
18;4,3;377,36;84,3;0,6;3,0
19;5,1;445,20;79,0;0,9;3,0
20;4,3;413,40;78,3;0,5;2,3
21;4,3;438,84;80,3;0,0;3,0
22;7,8;483,36;77,6;0,0;2,7
23;6,3;508,80;74,3;0,0;2,7
24;4,1;479,12;75,0;0,0;3,0
25;3,9;371,00;81,6;1,3;3,0
26;3,4;360,40;80,3;0,3;3,0
27;2,4;434,60;79,3;0,0;2,7
28;6,7;508,80;78,6;0,5;2,7
29;7,5;583,00;80,3;0,0;3,0
30;0,9;279,84;80,6;0,0;2,7
31;0,1;254,40;86,0;4,6;3,0
32;7,4;572,40;76,3;0,0;2,7
33;8,9;680,52;67,3;0,0;5,0
34;7,5;578,76;71,3;0,0;2,3
35;2,3;362,52;74,3;0,0;2,7
36;6,2;487,60;76,6;0,0;3,0
37;4,1;413,40;79,0;0,3;2,7
38;7,0;508,80;73,3;0,0;3,0
39;1,5;318,00;87,3;1,2;3,0
40;7,3;519,40;78,3;11,5;3,0
41;1,8;315,88;78,6;0,2;2,7
42;6,1;508,80;74,0;0,0;2,0
43;5,0;623,28;72,0;0,0;2,7
44;4,5;551,20;73,6;10,6;2,7
45;2,3;324,36;83,6;14,6;3,0
46;6,9;530,00;79,0;0,9;2,7
47;3,2;424,00;81,3;0,7;3,0
48;3,3;402,80;81,0;0,0;3,0
49;1,4;360,40;76,6;0,0;3,0
50;2,4;413,40;82,0;0,0;2,7
51;5,5;551,20;73,0;0,0;2,3
52;4,8;390,08;81,3;1,6;2,7
53;4,8;381,60;80,3;4,1;2,7
54;6,8;568,16;79,0;0,0;5,0
55;3,9;424,00;80,0;0,0;2,7
56;0,7;262,88;84,6;0,7;3,0
57;4,1;424,00;80,6;0,0;3,0
58;4,6;479,12;79,0;0,4;2,7
59;4,6;445,20;78,0;0,0;3,0
60;1,5;328,60;80,3;0,5;2,7
61;6,0;472,76;79,3;0,4;2,0
62;4,4;445,20;79,0;1,3;2,3
63;4,0;404,92;81,3;0,7;2,7
64;4,7;453,58;80,6;0,0;2,3
65;5,1;466,40;87,6;0,0;2,3
66;3,2;360,40;82,3;1,2;3,0
67;0,6;313,76;89,0;0,3;3,0
68;3,8;404,92;79,3;2,7;2,3
69;5,2;487,60;83,3;1,3;3,0
70;1,3;322,24;84,6;4,3;2,7
71;5,4;432,48;79,6;2,9;2,7
72;4,2;424,00;83,0;0,0;2,7
73;4,5;445,20;77,6;0,5;2,3
74;4,4;521,52;81,0;2,8;2,7
75;7,6;604,20;81,0;0,0;2,3
76;5,2;449,44;82,0;4,5;2,3
77;2,7;318,00;79,3;0,7;2,7
78;5,4;566,40;75,3;0,0;2,3
79;1,4;275,60;92,3;4,4;2,0
80;4,4;392,20;82,6;0,2;2,3
81;5,2;462,16;81,6;5,3;2,0
82;4,3;472,76;81,3;2,2;2,3
83;6,3;572,40;80,6;5,9;2,7
84;1,3;320,12;87,6;3,7;3,0
85;4,4;394,32;80,6;0,2;2,3
86;2,0;362,52;80,3;0,0;2,7
87;2,5;424,00;82,0;1,6;2,7
88;3,6;390,08;81,6;1,6;3,0
89;5,3;502,44;80,0;1,8;2,7
90;3,2;525,76;81,3;2,4;2,0
91;6,2;530,00;73,3;0,0;2,7
92;4,4;451,56;74,3;0,0;2,3
93;6,0;436,72;75,6;5,6;2,7
94;3,8;339,20;79,6;0,0;2,7
95;7,0;546,96;74,0;19,5;2,3
96;1,4;296,80;76,6;17,0;2,7
97;1,0;307,40;82,0;2,0;2,7
98;5,7;474,88;73,3;14,0;2,3
99;2,3;411,28;78,6;0,0;3,0
100;1,0;368,88;77,0;29,1;3,0
101;0,5;387,96;76,6;0,8;2,7
102;0,2;265,00;88,3;7,6;2,7
103;0,8;288,32;80,6;5,2;3,0
104;0,9;271,36;82,3;6,6;3,0
105;1,8;397,96;73,3;0,0;2,3
106;0,4;296,80;77,6;1,7;3,0
107;6,7;462,16;77,6;28,0;4,7
108;4,6;434,60;83,6;18,4;2,3
109;0,2;294,68;81,6;4,1;3,0
110;7,1;462,16;73,3;0,0;2,3
111;8,9;578,76;71,6;0,0;2,3
112;9,9;633,88;68,6;0,0;2,0
113;7,0;517,28;76,6;0,5;2,7
114;2,9;371,00;82,6;1,7;3,0
115;5,2;413,40;75,0;1,6;2,7
116;2,7;402,80;84,6;2,1;3,0
117;2,8;303,16;80,3;0,3;3,0
118;1,0;258,64;81,6;3,6;2,7
119;7,9;498,20;76,0;4,6;2,0
120;7,4;614,80;77,6;0,0;2,3
121;9,2;629,64;76,6;0,1;1,7
122;7,2;561,80;81,0;0,0;2,3
123;7,1;551,20;73,0;4,4;2,3
124;5,7;462,16;77,6;0,0;2,7
125;7,1;614,80;70,3;0,0;2,7
126;5,9;551,20;74,3;0,0;2,3
127;7,5;572,40;72,0;0,0;2,0
128;7,9;561,80;74,3;3,2;2,0
129;5,0;534,24;83,0;13,7;2,3
130;0,0;165,36;92,0;16,9;3,0
131;2,2;296,80;82,6;24,8;3,0
132;0,0;175,96;86,6;24,3;3,0
133;0,2;260,76;81,3;4,5;3,0
134;2,8;360,40;77,0;2,9;3,0
135;2,8;385,84;80,0;0,0;3,0
136;1,0;322,24;82,3;37,8;3,0
137;4,2;434,60;82,3;1,5;3,0
138;5,5;525,76;76,3;14,3;3,0
139;7,4;597,84;77,6;34,4;3,0
140;0,5;241,68;85,3;10,1;5,0
141;3,9;402,80;83,3;6,7;3,0
142;1,4;360,40;87,0;37,5;5,0
143;0,0;201,40;91,3;9,0;3,0
144;8,4;585,12;80,6;3,9;5,0
145;1,6;296,80;82,0;2,6;3,0
146;6,3;530,00;73,3;0,6;2,0
147;8,8;606,32;73,6;0,0;1,7
148;1,8;347,68;88,0;7,9;3,0
149;4,3;409,16;79,0;4,9;3,0
150;3,8;402,80;88,0;3,1;2,7
151;2,4;381,60;80,6;0,0;3,0
152;6,1;468,52;79,0;0,2;2,0
153;6,0;487,60;76,0;0,2;2,7
154;0,5;344,64;82,0;0,0;2,3
155;3,3;381,60;76,0;1,5;3,0
156;4,4;424,00;77,6;26,0;2,7
157;3,4;445,20;84,0;6,7;3,0
158;1,0;275,60;81,3;29,7;2,7
159;3,7;443,08;72,0;0,0;2,3
160;4,6;434,60;77,3;16,6;2,7
161;4,6;483,36;75,0;20,9;3,0
162;0,0;186,56;88,6;36,8;3,0
163;2,1;407,04;82,6;6,8;3,0
164;0,1;279,84;85,0;3,4;2,7
165;3,7;424,00;80,6;19,6;2,7
166;4,0;428,24;78,0;2,7;3,0
167;6,9;572,40;80,3;13,0;2,7
168;1,2;334,96;79,3;22,9;3,0
169;2,1;296,80;80,3;30,8;3,0
170;5,3;538,48;81,6;12,3;3,0
171;3,6;339,20;83,3;56,4;2,7
172;2,9;381,60;82,0;0,0;2,7
173;6,8;500,32;76,3;0,0;2,0
174;5,4;428,24;76,3;0,0;2,3
175;7,6;599,96;77,0;0,0;2,3
176;5,7;451,56;75,0;0,0;2,3
177;6,1;534,24;75,0;0,4;2,3
178;2,2;360,40;82,3;0,7;1,7
179;2,5;364,64;77,6;0,5;2,7
180;5,2;483,36;82,0;0,2;3,0
181;7,2;572,40;67,0;0,0;2,0
182;4,9;536,36;69,3;0,0;2,0
183;4,0;525,76;68,6;0,0;2,3
184;8,5;674,16;70,0;0,0;2,0
185;9,9;621,16;62,3;0,0;1,7
186;8,3;631,76;63,3;0,0;1,7
187;10,0;710,20;65,0;0,0;1,3
188;8,2;599,96;69,3;0,0;2,0
189;7,7;574,52;69,3;0,0;2,3
190;3,7;455,80;71,0;0,0;2,3
191;7,8;640,24;64,3;0,0;2,3
192;7,4;551,20;72,3;0,0;2,7
193;7,5;576,64;65,6;0,0;1,7
194;2,4;349,80;69,3;0,0;2,3
195;1,3;258,64;80,6;1,0;3,0
196;5,9;498,20;71,6;0,2;2,0
197;3,4;445,20;73,3;0,0;2,7
198;5,7;470,64;67,6;6,0;2,7
199;0,0;212,00;85,6;7,8;3,0
200;3,2;415,52;72,6;9,4;2,7
201;1,9;339,20;74,6;1,4;3,0
202;6,5;347,68;72,0;0,4;2,0
203;4,0;392,20;73,6;0,0;2,3
204;6,6;559,68;75,0;0,0;1,7
205;3,1;334,96;70,6;0,0;2,7
206;4,9;491,84;64,3;0,0;1,7
207;4,8;216,24;73,3;24,5;2,7
208;4,7;477,00;71,3;0,4;2,7
209;1,3;315,86;47,3;3,3;2,7
210;6,7;587,24;73,3;2,8;2,3
211;7,9;572,40;69,0;0,0;2,0
212;3,7;457,92;74,3;0,5;2,7
213;5,2;498,20;72,3;0,0;2,3
214;5,9;530,00;70,3;0,7;2,3
215;5,9;525,76;74,3;0,3;2,3
216;4,6;445,20;77,3;0,0;2,7
217;1,3;426,12;73,3;0,0;2,7
218;4,4;349,80;76,6;0,0;2,3
219;7,1;583,00;70,6;0,0;2,7
